fetch_time,station,stop_id,line,category,train_number,operator,arrival_time,arrival_platform,previous_stops,departure_time,departure_platform,next_stops
2026-01-21 08:00:02.510362,Berlin Hbf,-5749564141408552110-2601210934-3,RE5,RE,3508,800158,2026-01-21 09:43:00,6,Berlin Südkreuz|Berlin Potsdamer Platz,2026-01-21 09:46:00,6,Berlin Gesundbrunnen|Oranienburg|Löwenberg(Mark)|Gransee|Fürstenberg(Havel)|Neustrelitz Hbf|Blankensee(Meckl)|Cammin(Meckl)|Burg Stargard(Meckl)|Neubrandenburg|Altentreptow|Gnevkow|Sternfeld|Utzedel|Demmin|Rakow|Grimmen|Wittenhagen|Elmenhorst|Zarrendorf|Stralsund Hbf
2026-01-21 08:05:02.032241,Berlin Hbf,1375556554873415977-2601210502-22,RE5,RE,3505,800158,2026-01-21 08:13:00,3,Stralsund Hbf|Zarrendorf|Elmenhorst|Wittenhagen|Grimmen|Rakow|Demmin|Utzedel|Sternfeld|Gnevkow|Altentreptow|Neubrandenburg|Burg Stargard(Meckl)|Cammin(Meckl)|Blankensee(Meckl)|Neustrelitz Hbf|Fürstenberg(Havel)|Gransee|Löwenberg(Mark)|Oranienburg|Berlin Gesundbrunnen,2026-01-21 08:16:00,3,Berlin Potsdamer Platz|Berlin Südkreuz
2026-01-21 08:05:02.032246,Berlin Hbf,-1969128958741569889-2601210834-3,RE5,RE,4354,800158,2026-01-21 08:43:00,5,Berlin Südkreuz|Berlin Potsdamer Platz,2026-01-21 08:46:00,5,Berlin Gesundbrunnen|Oranienburg|Gransee|Dannenwalde(Gransee)|Fürstenberg(Havel)|Neustrelitz Hbf|Kratzeburg|Waren(Müritz)|Langhagen|Rostock Hbf
2026-01-21 08:05:02.142747,Berlin Hbf,4623933687143888319-2601210637-11,RE5,RE,4355,800158,2026-01-21 09:11:00,4,Rostock Hbf|Langhagen|Waren(Müritz)|Kratzeburg|Neustrelitz Hbf|Fürstenberg(Havel)|Dannenwalde(Gransee)|Gransee|Oranienburg|Berlin Gesundbrunnen,2026-01-21 09:14:00,4,Berlin Potsdamer Platz|Berlin Südkreuz
2026-01-21 08:05:02.142760,Berlin Hbf,-5749564141408552110-2601210934-3,RE5,RE,3508,800158,2026-01-21 09:43:00,6,Berlin Südkreuz|Berlin Potsdamer Platz,2026-01-21 09:46:00,6,Berlin Gesundbrunnen|Oranienburg|Löwenberg(Mark)|Gransee|Fürstenberg(Havel)|Neustrelitz Hbf|Blankensee(Meckl)|Cammin(Meckl)|Burg Stargard(Meckl)|Neubrandenburg|Altentreptow|Gnevkow|Sternfeld|Utzedel|Demmin|Rakow|Grimmen|Wittenhagen|Elmenhorst|Zarrendorf|Stralsund Hbf
2026-01-21 08:10:01.782853,Berlin Hbf,1375556554873415977-2601210502-22,RE5,RE,3505,800158,2026-01-21 08:13:00,3,Stralsund Hbf|Zarrendorf|Elmenhorst|Wittenhagen|Grimmen|Rakow|Demmin|Utzedel|Sternfeld|Gnevkow|Altentreptow|Neubrandenburg|Burg Stargard(Meckl)|Cammin(Meckl)|Blankensee(Meckl)|Neustrelitz Hbf|Fürstenberg(Havel)|Gransee|Löwenberg(Mark)|Oranienburg|Berlin Gesundbrunnen,2026-01-21 08:16:00,3,Berlin Potsdamer Platz|Berlin Südkreuz
2026-01-21 08:10:01.782865,Berlin Hbf,-1969128958741569889-2601210834-3,RE5,RE,4354,800158,2026-01-21 08:43:00,5,Berlin Südkreuz|Berlin Potsdamer Platz,2026-01-21 08:46:00,5,Berlin Gesundbrunnen|Oranienburg|Gransee|Dannenwalde(Gransee)|Fürstenberg(Havel)|Neustrelitz Hbf|Kratzeburg|Waren(Müritz)|Langhagen|Rostock Hbf
2026-01-21 08:10:01.944817,Berlin Hbf,4623933687143888319-2601210637-11,RE5,RE,4355,800158,2026-01-21 09:11:00,4,Rostock Hbf|Langhagen|Waren(Müritz)|Kratzeburg|Neustrelitz Hbf|Fürstenberg(Havel)|Dannenwalde(Gransee)|Gransee|Oranienburg|Berlin Gesundbrunnen,2026-01-21 09:14:00,4,Berlin Potsdamer Platz|Berlin Südkreuz
2026-01-21 08:10:01.944842,Berlin Hbf,-5749564141408552110-2601210934-3,RE5,RE,3508,800158,2026-01-21 09:43:00,6,Berlin Südkreuz|Berlin Potsdamer Platz,2026-01-21 09:46:00,6,Berlin Gesundbrunnen|Oranienburg|Löwenberg(Mark)|Gransee|Fürstenberg(Havel)|Neustrelitz Hbf|Blankensee(Meckl)|Cammin(Meckl)|Burg Stargard(Meckl)|Neubrandenburg|Altentreptow|Gnevkow|Sternfeld|Utzedel|Demmin|Rakow|Grimmen|Wittenhagen|Elmenhorst|Zarrendorf|Stralsund Hbf
2026-01-21 08:15:02.475927,Berlin Hbf,1375556554873415977-2601210502-22,RE5,RE,3505,800158,2026-01-21 08:13:00,3,Stralsund Hbf|Zarrendorf|Elmenhorst|Wittenhagen|Grimmen|Rakow|Demmin|Utzedel|Sternfeld|Gnevkow|Altentreptow|Neubrandenburg|Burg Stargard(Meckl)|Cammin(Meckl)|Blankensee(Meckl)|Neustrelitz Hbf|Fürstenberg(Havel)|Gransee|Löwenberg(Mark)|Oranienburg|Berlin Gesundbrunnen,2026-01-21 08:16:00,3,Berlin Potsdamer Platz|Berlin Südkreuz
2026-01-21 08:15:02.475933,Berlin Hbf,-1969128958741569889-2601210834-3,RE5,RE,4354,800158,2026-01-21 08:43:00,5,Berlin Südkreuz|Berlin Potsdamer Platz,2026-01-21 08:46:00,5,Berlin Gesundbrunnen|Oranienburg|Gransee|Dannenwalde(Gransee)|Fürstenberg(Havel)|Neustrelitz Hbf|Kratzeburg|Waren(Müritz)|Langhagen|Rostock Hbf
2026-01-21 08:15:02.605049,Berlin Hbf,4623933687143888319-2601210637-11,RE5,RE,4355,800158,2026-01-21 09:11:00,4,Rostock Hbf|Langhagen|Waren(Müritz)|Kratzeburg|Neustrelitz Hbf|Fürstenberg(Havel)|Dannenwalde(Gransee)|Gransee|Oranienburg|Berlin Gesundbrunnen,2026-01-21 09:14:00,4,Berlin Potsdamer Platz|Berlin Südkreuz
